,Train Data (%),MaxDepth,DecTestAcc,DecValAcc,DecF1Score
0,10,6,0.6666666666666666,0.6333333333333333,0.6441986237191134
1,20,6,0.5833333333333334,0.65,0.5489845837369394
2,30,6,0.7222222222222222,0.7833333333333333,0.7125916732172606
3,40,6,0.6777777777777778,0.7111111111111111,0.6724611196517021
4,50,6,0.6388888888888888,0.6833333333333333,0.6180429736602991
5,60,6,0.7111111111111111,0.7611111111111111,0.7248826253344623
6,70,6,0.6777777777777778,0.6611111111111111,0.6701920932410952
7,80,6,0.6555555555555556,0.6777777777777778,0.6365394853626286
8,90,6,0.6944444444444444,0.7722222222222223,0.6769093598013558
9,100,6,0.6944444444444444,0.7722222222222223,0.6764794856750631
10,10,8,0.6555555555555556,0.6666666666666666,0.6377704992821271
11,20,8,0.6833333333333333,0.7111111111111111,0.6691893345757274
12,30,8,0.75,0.8333333333333334,0.7335563510952785
13,40,8,0.7611111111111111,0.7722222222222223,0.7564622428475117
14,50,8,0.6777777777777778,0.7,0.6653501740195289
15,60,8,0.7222222222222222,0.75,0.7219731382091729
16,70,8,0.7055555555555556,0.7333333333333333,0.7157883322160085
17,80,8,0.7555555555555555,0.8388888888888889,0.7362743636937186
18,90,8,0.8277777777777777,0.8444444444444444,0.8171081680624583
19,100,8,0.8277777777777777,0.8111111111111111,0.8101139590646115
20,10,10,0.6833333333333333,0.6166666666666667,0.6732173705318617
21,20,10,0.6944444444444444,0.7222222222222222,0.6906397984855757
22,30,10,0.75,0.8111111111111111,0.7420469726352079
23,40,10,0.7777777777777778,0.7944444444444444,0.7833624361922574
24,50,10,0.7333333333333333,0.7611111111111111,0.737015367093359
25,60,10,0.7722222222222223,0.8,0.7682793318685184
26,70,10,0.7555555555555555,0.75,0.7578702640606688
27,80,10,0.8333333333333334,0.8722222222222222,0.823717000526913
28,90,10,0.8444444444444444,0.8611111111111112,0.8389780750143208
29,100,10,0.8555555555555555,0.8555555555555555,0.8518165359287995
30,10,12,0.6944444444444444,0.65,0.6814613047816114
31,20,12,0.6888888888888889,0.7444444444444445,0.6797001932071416
32,30,12,0.7444444444444445,0.8388888888888889,0.733084203378321
33,40,12,0.8222222222222222,0.7944444444444444,0.8200944499850109
34,50,12,0.7388888888888889,0.7722222222222223,0.7376067891088208
35,60,12,0.7611111111111111,0.8055555555555556,0.7575668497991603
36,70,12,0.7888888888888889,0.7888888888888889,0.7829078948778774
37,80,12,0.8222222222222222,0.8722222222222222,0.8103925821024666
38,90,12,0.8333333333333334,0.8722222222222222,0.8281903387243945
39,100,12,0.8333333333333334,0.8333333333333334,0.82877203691849
40,10,14,0.6833333333333333,0.65,0.6717238217494956
41,20,14,0.6777777777777778,0.7666666666666667,0.6706069687611269
42,30,14,0.7555555555555555,0.8277777777777777,0.7468165305626606
43,40,14,0.8222222222222222,0.7944444444444444,0.8189965970943452
44,50,14,0.7277777777777777,0.7777777777777778,0.7255356778755129
45,60,14,0.7833333333333333,0.7833333333333333,0.7771829005304177
46,70,14,0.8222222222222222,0.7888888888888889,0.8216595147936848
47,80,14,0.8333333333333334,0.8666666666666667,0.8258835368440318
48,90,14,0.8333333333333334,0.9,0.8343388315585119
49,100,14,0.8166666666666667,0.8555555555555555,0.8070345650221811
50,10,16,0.7166666666666667,0.6944444444444444,0.7127338872468809
51,20,16,0.7055555555555556,0.7444444444444445,0.699468958907416
52,30,16,0.7388888888888889,0.7944444444444444,0.7383515181535727
53,40,16,0.8,0.7666666666666667,0.7998193957205586
54,50,16,0.7388888888888889,0.7833333333333333,0.7333387489768877
55,60,16,0.7666666666666667,0.7833333333333333,0.7699132764729685
56,70,16,0.8,0.8,0.7913501026396378
57,80,16,0.8222222222222222,0.8555555555555555,0.8159556906321314
58,90,16,0.8388888888888889,0.8944444444444445,0.8377760533560087
59,100,16,0.8388888888888889,0.8555555555555555,0.8308480186883089
