,Train Data (%),gamma,SVMTestAcc,SVMValAcc,SVMF1Score
0,10,0.0001,0.75,0.7833333333333333,0.717459793623728
1,20,0.0001,0.8888888888888888,0.9111111111111111,0.8874141502856849
2,30,0.0001,0.9222222222222223,0.95,0.9158168444103343
3,40,0.0001,0.9444444444444444,0.9555555555555556,0.938795435594216
4,50,0.0001,0.9555555555555556,0.9666666666666667,0.9510899208971952
5,60,0.0001,0.9611111111111111,0.9666666666666667,0.9570015301013839
6,70,0.0001,0.9611111111111111,0.9666666666666667,0.9570015301013839
7,80,0.0001,0.9722222222222222,0.9777777777777777,0.9670101453087989
8,90,0.0001,0.9611111111111111,0.9833333333333333,0.9569171490867705
9,100,0.0001,0.9722222222222222,0.9944444444444445,0.9670101453087989
10,10,0.0005,0.9111111111111111,0.9444444444444444,0.912362529025027
11,20,0.0005,0.9555555555555556,0.9611111111111111,0.9562262804816168
12,30,0.0005,0.9666666666666667,0.9666666666666667,0.9676573813783117
13,40,0.0005,0.9722222222222222,0.9888888888888889,0.9722098831401157
14,50,0.0005,0.9833333333333333,0.9888888888888889,0.9816426725729052
15,60,0.0005,0.9833333333333333,1.0,0.9816426725729052
16,70,0.0005,0.9833333333333333,1.0,0.9816426725729052
17,80,0.0005,0.9777777777777777,1.0,0.9770995670995672
18,90,0.0005,0.9777777777777777,1.0,0.9770995670995672
19,100,0.0005,0.9777777777777777,1.0,0.9770995670995672
20,10,0.001,0.9333333333333333,0.95,0.936590527883963
21,20,0.001,0.95,0.9722222222222222,0.9530175953290488
22,30,0.001,0.9666666666666667,0.9777777777777777,0.9676573813783117
23,40,0.001,0.9777777777777777,0.9944444444444445,0.9770995670995672
24,50,0.001,0.9833333333333333,1.0,0.9816426725729052
25,60,0.001,0.9833333333333333,1.0,0.9816426725729052
26,70,0.001,0.9833333333333333,1.0,0.9816426725729052
27,80,0.001,0.9833333333333333,0.9944444444444445,0.9816426725729052
28,90,0.001,0.9777777777777777,1.0,0.9770995670995672
29,100,0.001,0.9777777777777777,1.0,0.9770995670995672
30,10,0.005,0.4888888888888889,0.5555555555555556,0.4942071100438669
31,20,0.005,0.7333333333333333,0.8,0.7531628656628657
32,30,0.005,0.8111111111111111,0.8777777777777778,0.8210414642061711
33,40,0.005,0.9166666666666666,0.9166666666666666,0.9152753250417645
34,50,0.005,0.9444444444444444,0.95,0.9382273878785508
35,60,0.005,0.9555555555555556,0.9555555555555556,0.9577039821776664
36,70,0.005,0.9555555555555556,0.9611111111111111,0.9553561593312356
37,80,0.005,0.9555555555555556,0.9666666666666667,0.9566323720495736
38,90,0.005,0.9666666666666667,0.9666666666666667,0.965460009807444
39,100,0.005,0.95,0.9722222222222222,0.954006442940084
40,10,0.01,0.09444444444444444,0.17222222222222222,0.06998693276312663
41,20,0.01,0.3,0.3388888888888889,0.28176008202323993
42,30,0.01,0.21666666666666667,0.28888888888888886,0.23308165067491854
43,40,0.01,0.2833333333333333,0.35,0.30469232826797754
44,50,0.01,0.45,0.4777777777777778,0.4912409273229173
45,60,0.01,0.5888888888888889,0.6055555555555555,0.6278623297268684
46,70,0.01,0.6333333333333333,0.7222222222222222,0.6851712723963301
47,80,0.01,0.7333333333333333,0.8055555555555556,0.7764616631282852
48,90,0.01,0.7833333333333333,0.8277777777777777,0.826193058414084
49,100,0.01,0.85,0.8722222222222222,0.8684035072976226
50,10,0.05,0.05555555555555555,0.14444444444444443,0.010526315789473684
51,20,0.05,0.10555555555555556,0.08333333333333333,0.01909547738693467
52,30,0.05,0.05555555555555555,0.14444444444444443,0.010526315789473684
53,40,0.05,0.05555555555555555,0.14444444444444443,0.010526315789473684
54,50,0.05,0.05555555555555555,0.14444444444444443,0.010526315789473684
55,60,0.05,0.11666666666666667,0.06111111111111111,0.020895522388059702
56,70,0.05,0.11666666666666667,0.06111111111111111,0.020895522388059702
57,80,0.05,0.11666666666666667,0.06111111111111111,0.020895522388059702
58,90,0.05,0.07777777777777778,0.15,0.045535296867695176
59,100,0.05,0.16666666666666666,0.08888888888888889,0.07993951612903226
